Year,Price
2010,10
2011,11
2012,11
2013,11
2014,11
2015,11
2016,11
2017,11
2018,12
2019,12
2020,12
2021,12
2022,13
2023,13
2024,13
2025,14
2026,14
2027,15
2028,15
2029,15
2030,16
2031,16
2032,17
2033,17
2034,18
2035,18
2036,19
2037,19
2038,20
2039,20
2040,21
2041,21
2042,22
2043,22
2044,23
2045,23
2046,24
2047,24
2048,25
2049,25
2050,26
2051,26
2052,27
2053,27
2054,28
2055,28
2056,29
2057,29
2058,30
2059,30
2060,31
