MAX_DIST,WEIGHT,THREAT,DECAY,DESCRIP,BASE_PATH,CUR_PATH,FUT_PATH
8000,0.7,crops,linear,Agricultural lands,,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/crops_c.tif,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/crops_f.tif
5000,0.6,railroad,exponential,Railroad lines,,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/railroad_c.tif,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/railroad_f.tif
10000,1,urban,exponential,Urban/developed,,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/urban_c.tif,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/urban_f.tif
6000,0.5,timber,exponential,Timber harvesting/Plantations,,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/timber_c.tif,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/timber_f.tif
3000,1,roads1,linear,Primary roads,,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/roads1_c.tif,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/roads1_f.tif
1000,0.7,roads2,linear,Secondary roads,,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/roads2_c.tif,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/roads2_f.tif
500,0.5,roads3,exponential,Rural roads,,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/roads3_c.tif,zip+https://storage.googleapis.com/releases.naturalcapitalproject.org/invest/3.16.1/data/HabitatQuality.zip/HabitatQuality/roads3_f.tif
