LONG,LATI,LAM,K,REF
-97.33332824707031,26.800060272216797,6.377326965332031,2.7330899238586426,10
-97.33332824707031,26.866729736328125,6.403274059295654,2.7327260971069336,10
-97.33332824707031,26.93338966369629,6.430045127868652,2.729137897491455,10
-97.33332824707031,27.000059127807617,6.456089973449707,2.7193760871887207,10
-97.33332824707031,27.066730499267578,6.434205055236816,2.7333788871765137,10
-97.33332824707031,27.133390426635742,6.412452220916748,2.74242901802063,10
-97.33332824707031,27.20005989074707,6.390852928161621,2.746177911758423,10
-97.33332824707031,27.2667293548584,6.370928764343262,2.748276948928833,10
-97.26666259765625,26.600059509277344,6.5313801765441895,2.7338690757751465,10
-97.26666259765625,26.666719436645508,6.554920196533203,2.740885019302368,10
-97.26666259765625,26.73339080810547,6.579090118408203,2.7438440322875977,10
-97.26666259765625,26.800060272216797,6.604568958282471,2.7447268962860107,10
-97.26666259765625,26.866729736328125,6.631491184234619,2.7444489002227783,10
-97.26666259765625,26.93338966369629,6.658949851989746,2.7403481006622314,10
-97.26666259765625,27.000059127807617,6.685937881469727,2.730705976486206,10
-97.26666259765625,27.066730499267578,6.663610935211182,2.743551015853882,10
-97.26666259765625,27.133390426635742,6.641336917877197,2.7514829635620117,10
-97.26666259765625,27.20005989074707,6.620461940765381,2.7574050426483154,10
-97.26666259765625,27.2667293548584,6.600190162658691,2.758958101272583,10
-97.26666259765625,27.333389282226562,6.580935001373291,2.756819009780884,10
-97.26666259765625,27.400060653686523,6.562126159667969,2.749464988708496,10
-97.26666259765625,27.46673011779785,6.543185234069824,2.736171007156372,10
-97.19998931884766,26.333389282226562,6.590038776397705,2.719409942626953,10
-97.19998931884766,26.400060653686523,6.643909931182861,2.7246339321136475,10
-97.19998931884766,26.466720581054688,6.697986125946045,2.7252418994903564,10
-97.19998931884766,26.533390045166016,6.736941814422607,2.730813980102539,10
-97.19998931884766,26.600059509277344,6.7601399421691895,2.7398738861083984,10
-97.19998931884766,26.666719436645508,6.784016132354736,2.7457339763641357,10
-97.19998931884766,26.73339080810547,6.808835983276367,2.7485148906707764,10
-97.19998931884766,26.800060272216797,6.8345208168029785,2.7478389739990234,10
-97.19998931884766,26.866729736328125,6.861861228942871,2.7459781169891357,10
-97.19998931884766,26.93338966369629,6.889957904815674,2.7412800788879395,10
-97.19998931884766,27.000059127807617,6.917388916015625,2.7308549880981445,10
-97.19998931884766,27.066730499267578,6.894868850708008,2.7433810234069824,10
-97.19998931884766,27.133390426635742,6.873289108276367,2.753338098526001,10
-97.19998931884766,27.20005989074707,6.851925849914551,2.7581698894500732,10
-97.19998931884766,27.2667293548584,6.831756114959717,2.7601749897003174,10
-97.19998931884766,27.333389282226562,6.812693119049072,2.7587881088256836,10
-97.19998931884766,27.400060653686523,6.793900966644287,2.7519960403442383,10
-97.19998931884766,27.46673011779785,6.7754058837890625,2.7401390075683594,10
-97.19998931884766,27.53339958190918,6.721999168395996,2.736726999282837,10
-97.19998931884766,27.600059509277344,6.6334052085876465,2.7427470684051514,10
-97.1333236694336,25.666719436645508,6.782289028167725,2.6811881065368652,10
-97.1333236694336,25.73339080810547,6.732365131378174,2.6825499534606934,10
-97.1333236694336,25.800050735473633,6.682740211486816,2.680030107498169,10
-97.1333236694336,25.86672019958496,6.634537220001221,2.67592191696167,10
-97.1333236694336,25.93338966369629,6.587003231048584,2.6685760021209717,10
-97.1333236694336,26.000049591064453,6.538894176483154,2.654984951019287,10
-97.1333236694336,26.06671905517578,6.5920281410217285,2.67521595954895,10
-97.1333236694336,26.133390426635742,6.645925045013428,2.6925508975982666,10
-97.1333236694336,26.20005989074707,6.700247764587402,2.7055981159210205,10
-97.1333236694336,26.266719818115234,6.755711078643799,2.716161012649536,10
-97.1333236694336,26.333389282226562,6.8120269775390625,2.723144054412842,10
-97.1333236694336,26.400060653686523,6.869041919708252,2.726457118988037,10
-97.1333236694336,26.466720581054688,6.926371097564697,2.725493907928467,10
-97.1333236694336,26.533390045166016,6.96701192855835,2.729557991027832,10
-97.1333236694336,26.600059509277344,6.9908342361450195,2.7385449409484863,10
-97.1333236694336,26.666719436645508,7.014625072479248,2.7424540519714355,10
-97.1333236694336,26.73339080810547,7.040249824523926,2.7455389499664307,10
-97.1333236694336,26.800060272216797,7.0664849281311035,2.744508981704712,10
-97.1333236694336,26.866729736328125,7.093714237213135,2.740457057952881,10
-97.1333236694336,26.93338966369629,7.1222147941589355,2.734816074371338,10
-97.1333236694336,27.000059127807617,7.150033950805664,2.723496913909912,10
-97.1333236694336,27.066730499267578,7.127935886383057,2.7373011112213135,10
-97.1333236694336,27.133390426635742,7.1055908203125,2.7454710006713867,10
-97.1333236694336,27.20005989074707,7.083942890167236,2.7499420642852783,10
-97.1333236694336,27.2667293548584,7.064259052276611,2.7534279823303223,10
-97.1333236694336,27.333389282226562,7.045362949371338,2.7526729106903076,10
-97.1333236694336,27.400060653686523,7.027260780334473,2.7476630210876465,10
-97.1333236694336,27.46673011779785,7.008951187133789,2.73629093170166,10
-97.1333236694336,27.53339958190918,6.9500508308410645,2.7326018810272217,10
-97.1333236694336,27.600059509277344,6.851006031036377,2.7389779090881348,10
-97.1333236694336,27.666730880737305,6.752450942993164,2.742016077041626,10
-97.06665802001953,25.666719436645508,6.965341091156006,2.6860480308532715,10
-97.06665802001953,25.73339080810547,6.920698165893555,2.688045024871826,10
-97.06665802001953,25.800050735473633,6.876284122467041,2.685647964477539,10
-97.06665802001953,25.86672019958496,6.832830905914307,2.680588960647583,10
