LONG,LATI,LAM,K,REF
-293.0,-51.5,13.099611282348633,3.3408989906311035,10
-293.5,-51.5,13.095771789550781,3.343316078186035,10
-292.5,-52.0,13.133460998535156,3.3206729888916016,10
-294.0,-51.5,13.093758583068848,3.3424150943756104,10
-293.0,-52.0,13.11738395690918,3.3223791122436523,10
-292.5,-51.5,13.107823371887207,3.344115972518921,10
-294.5,-51.5,13.096917152404785,3.339087963104248,10
-292.0,-52.0,13.150787353515625,3.3290209770202637,10
-293.5,-52.0,13.11027717590332,3.330881118774414,10
-294.0,-52.0,13.108209609985352,3.3328440189361572,10
-295.0,-51.5,13.10581111907959,3.3373749256134033,10
-294.5,-52.0,13.10956859588623,3.3269729614257812,10
-295.5,-51.5,13.113333702087402,3.342160940170288,10
-293.5,-51.0,13.039262771606445,3.347299098968506,10
-291.5,-52.0,13.160847663879395,3.3446218967437744,10
-292.0,-51.5,13.111893653869629,3.3467929363250732,10
-294.0,-51.0,13.046448707580566,3.3513150215148926,10
-294.5,-51.0,13.0488862991333,3.34431791305542,10
-295.0,-52.0,13.11284065246582,3.3278450965881348,10
-293.0,-51.0,13.0293550491333,3.339616060256958,10
-296.0,-51.5,13.113792419433594,3.347080945968628,10
-295.0,-51.0,13.048613548278809,3.3379549980163574,10
-292.5,-52.5,13.122008323669434,3.303601026535034,10
-292.0,-52.5,13.138347625732422,3.3072659969329834,10
-295.5,-52.0,13.114974975585938,3.338347911834717,10
-293.0,-52.5,13.112168312072754,3.3038179874420166,10
-295.5,-51.0,13.052579879760742,3.331434965133667,10
-291.5,-52.5,13.149991989135742,3.3150429725646973,10
-292.5,-51.0,13.01468276977539,3.339262008666992,10
-296.5,-51.5,13.11098861694336,3.3502020835876465,10
-293.5,-52.5,13.109260559082031,3.303786039352417,10
-296.0,-52.0,13.115214347839355,3.3456239700317383,10
-291.0,-52.0,13.158167839050293,3.3512160778045654,10
-296.0,-51.0,13.059325218200684,3.3313589096069336,10
-294.0,-52.5,13.105588912963867,3.3042120933532715,10
-291.0,-52.5,13.152185440063477,3.321007013320923,10
-291.5,-51.5,13.110294342041016,3.348706007003784,10
-296.5,-51.0,13.060271263122559,3.336168050765991,10
-294.5,-52.5,13.100257873535156,3.3065030574798584,10
-295.0,-52.5,13.095755577087402,3.3127739429473877,10
-294.0,-50.5,12.96363639831543,3.3488800525665283,10
-290.5,-52.5,13.149592399597168,3.3191230297088623,10
-294.5,-50.5,12.969880104064941,3.345505952835083,10
-293.5,-50.5,12.95199966430664,3.3380560874938965,10
-295.0,-50.5,12.968704223632812,3.3388779163360596,10
-290.5,-52.0,13.153482437133789,3.351306915283203,10
-295.5,-50.5,12.964357376098633,3.3380799293518066,10
-293.0,-50.5,12.917651176452637,3.3271050453186035,10
-292.0,-53.0,13.120163917541504,3.2726991176605225,10
-291.5,-53.0,13.126357078552246,3.2754650115966797,10
-292.5,-53.0,13.11009407043457,3.271923065185547,10
